Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-76.56,30.0,28.98,-56.0,26.96,-96.0,0.0
-75.94,30.0,30.84,-54.0,26.82,-96.0,0.0
-75.41,30.0,30.7,-52.0,26.69,-95.0,0.0
-75.14,30.0,28.56,-49.0,26.56,-96.0,0.0
-74.6,30.0,31.42,-46.0,26.42,-95.0,0.0
-74.32,30.0,29.34,-43.0,26.29,-95.0,0.0
-74.17,30.0,28.2,-36.0,26.16,-96.0,0.0
-73.84,30.0,30.07,-33.0,26.03,-95.0,0.0
-73.55,30.0,29.93,-28.0,25.9,-95.0,0.0
-73.5,30.0,27.8,-20.0,25.77,-96.0,0.0
-73.0,30.0,32.17,-14.0,28.15,-95.0,0.0
-72.31,30.0,34.53,-4.0,30.51,-95.0,0.0
-71.59,30.0,35.28,7.0,33.06,-96.0,0.0
-70.39,30.0,40.57,23.0,35.35,-95.0,0.0
-69.49,30.0,38.39,-61.0,35.18,-96.0,0.0
-68.75,30.0,37.21,-60.0,35.0,-96.0,0.0
-67.76,30.0,40.03,-57.0,34.82,-95.0,0.0
-67.03,30.0,37.9,-56.0,34.65,-96.0,0.0
-66.43,30.0,36.72,-55.0,34.48,-96.0,0.0
-65.45,30.0,40.75,-53.0,34.3,-95.0,0.0
-64.9,30.0,36.57,-52.0,34.13,-96.0,0.0
-64.38,30.0,36.4,-47.0,33.96,-96.0,0.0
-63.48,30.0,40.22,-45.0,33.79,-94.0,0.0
-63.03,30.0,35.84,-42.0,33.62,-96.0,0.0
-62.59,30.0,35.67,-39.0,33.46,-96.0,0.0
-61.76,30.0,39.5,-36.0,33.29,-95.0,0.0
-61.34,30.0,35.33,-33.0,33.12,-96.0,0.0
-60.92,30.0,35.16,-28.0,32.96,-96.0,0.0
-59.74,30.0,42.74,-16.0,35.49,-94.0,0.0
-58.78,30.0,40.26,-8.0,38.02,-96.0,0.0
-57.58,30.0,42.47,2.0,40.43,-96.0,0.0
-55.67,30.0,48.95,14.0,42.92,-94.0,0.0
-53.8,30.0,47.64,36.0,45.41,-96.0,0.0
